Date,Source,Details,Country (Profile)
Tue Oct 18 14:12:03 +0000 2022,Pakistan News ,Delhi-controlled SIA raids social media handler’s house in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 14:10:03 +0000 2022,Pakistan News ,OPEC+ oil production cut: Pakistan stands by Saudi Arabia in wake of US criticism #Pakistan brecorder.com/news/40203788,"Islamabad, Pakistan"
Tue Oct 18 14:08:03 +0000 2022,Pakistan News ,OPEC decision: Pakistan expresses solidarity with Saudi Arabia #Pakistan radio.gov.pk/18-10-2022/pak…,"Islamabad, Pakistan"
Tue Oct 18 14:06:03 +0000 2022,Pakistan News ,Pakistan reaffirms long-standing and fraternal ties with Saudi Arabia #Pakistan dunyanews.tv/en/Pakistan/67…,"Islamabad, Pakistan"
Tue Oct 18 14:04:03 +0000 2022,Pakistan News ,Pakistan expresses 'solidarity' with Saudi Arabia over Opec criticism #Pakistan dawn.com/news/1715678/p…,"Islamabad, Pakistan"
Tue Oct 18 14:02:03 +0000 2022,Pakistan News ,Pakistan’s Rabia Shahzad sets record at World Powerlifting Championship 2022 #Pakistan en.dailypakistan.com.pk/18-Oct-2022/pa…,"Islamabad, Pakistan"
Tue Oct 18 13:50:03 +0000 2022,Pakistan News ,OPEC+ production cut: Pakistan stands by Saudi Arabia in wake of US criticism #Pakistan brecorder.com/news/40203788/…,"Islamabad, Pakistan"
Tue Oct 18 13:48:02 +0000 2022,Pakistan News ,"Pakistan reaffirms long-standing, fraternal ties with Saudi Arabia #Pakistan radio.gov.pk/18-10-2022/pak…","Islamabad, Pakistan"
Tue Oct 18 13:46:02 +0000 2022,Pakistan News ,What's the Endgame for Afghanistan and Pakistan? #Pakistan thediplomat.com/2022/10/whats-…,"Islamabad, Pakistan"
Tue Oct 18 13:36:03 +0000 2022,Pakistan News ,Reimagining school education in Pakistan - Pakistan - DAWN.COM #Pakistan dawn.com/news/1715657,"Islamabad, Pakistan"
Tue Oct 18 13:34:01 +0000 2022,Pakistan News ,"(From Indian media) Pakistan, ‘one of the most dangerous nations in the world’ #Pakistan timesofindia.indiatimes.com/blogs/periscop…","Islamabad, Pakistan"
Tue Oct 18 13:32:02 +0000 2022,Pakistan News ,"WFP Pakistan Country Brief, August 2022 - Pakistan #Pakistan reliefweb.int/report/pakista…","Islamabad, Pakistan"
Tue Oct 18 13:16:02 +0000 2022,Pakistan News ,US expresses ‘confidence’ in Pakistan to keep nuclear arms secure #Pakistan aljazeera.com/news/2022/10/1…,"Islamabad, Pakistan"
Tue Oct 18 13:04:03 +0000 2022,Pakistan News ,IIOJK HC directs authorities to ensure detained student appears in examination #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 13:02:02 +0000 2022,Pakistan News ,(From Indian media) Interpol meet: Pakistan non-committal on whether it'll hand over Dawood Ibrahim and Hafiz Saeed to India #Pakistan economictimes.indiatimes.com/news/india/int…,"Islamabad, Pakistan"
Tue Oct 18 12:48:03 +0000 2022,Pakistan News ,"Pakistani Rupee to UAE Dirham on October 18, 2022 #Pakistan pkrevenue.com/pakistani-rupe…","Islamabad, Pakistan"
Tue Oct 18 12:46:02 +0000 2022,Pakistan News ,(From Indian media) T20 World Cup 2022: Pakistan vs Afghanistan warm up match live streaming #Pakistan indianexpress.com/article/sports…,"Islamabad, Pakistan"
Tue Oct 18 12:40:02 +0000 2022,Pakistan News ,Passengers to Get Free Tea at Major Airports Across Pakistan #Pakistan propakistani.pk/2022/10/18/pas…,"Islamabad, Pakistan"
Tue Oct 18 12:38:02 +0000 2022,Pakistan News ,'Shambolic conclusions': Pakistani Twitter in disbelief after Shahrukh Jatoi's acquittal in Shahzeb murder case #Pakistan dawn.com/news/1715667/s…,"Islamabad, Pakistan"
Tue Oct 18 12:36:02 +0000 2022,Pakistan News ,"Army's top brass reposes 'full confidence' in Pakistan's 'robust' security of nuclear, strategic assets #Pakistan dawn.com/news/1715669","Islamabad, Pakistan"
Tue Oct 18 12:34:03 +0000 2022,Pakistan News ,Imran Khan Sweeps By-Elections in Pakistan #Pakistan thediplomat.com/2022/10/imran-…,"Islamabad, Pakistan"
Tue Oct 18 12:32:02 +0000 2022,Pakistan News ,Sarsabz Pakistan mobile app claims fastest growth within the agri-sector #Pakistan en.dailypakistan.com.pk/18-Oct-2022/sa…,"Islamabad, Pakistan"
Tue Oct 18 12:16:03 +0000 2022,Pakistan News ,Sindhi group wants to drag Pakistan to ICJ over dead bodies at hospital #Pakistan siasat.com/sindhi-group-w…,"Islamabad, Pakistan"
Tue Oct 18 12:06:03 +0000 2022,Pakistan News ,Sharma's 'Chakda 'Xpress' showcase India v Pakistan match #Pakistan tribune.com.pk/story/2382207/…,"Islamabad, Pakistan"
Tue Oct 18 12:04:03 +0000 2022,Pakistan News ,TTP calling Pakistan a “butcher state” goes viral in India #Pakistan globalvillagespace.com/ttp-calling-pa…,"Islamabad, Pakistan"
Tue Oct 18 12:02:03 +0000 2022,Pakistan News ,(From Indian media) Pakistan: Pet dog mauls 22 people in Kasur #Pakistan firstpost.com/world/pakistan…,"Islamabad, Pakistan"
Tue Oct 18 11:54:03 +0000 2022,Pakistan News ,(From Indian media) Pakistan drone shot by BSF at Punjab border; 3rd incident in four days #Pakistan deccanherald.com/national/north…,"Islamabad, Pakistan"
Tue Oct 18 11:52:03 +0000 2022,Pakistan News ,"(From Indian media) Shoaib Malik shares shirtless photo from gym after Pakistan lose T20 World Cup warm-up match; netizens advise him, ‘Khaya piya karo bhai, kamzor ho gaye ho’ #Pakistan tribuneindia.com/news/trending/…","Islamabad, Pakistan"
Tue Oct 18 11:50:03 +0000 2022,Pakistan News ,Today's Dollar rate in Pakistan - 18 Oct 2022 #Pakistan dailytimes.com.pk/1014210/todays…,"Islamabad, Pakistan"
Tue Oct 18 11:48:03 +0000 2022,Pakistan News ,Why Pakistan Must Become Resilient After The Floods #Pakistan thefridaytimes.com/2022/10/18/why…,"Islamabad, Pakistan"
Tue Oct 18 11:46:03 +0000 2022,Pakistan News ,‘The Legend Of Maula Jatt’: Pakistani Epic Sets Global Opening Weekend Record #Pakistan deadline.com/2022/10/the-le…,"Islamabad, Pakistan"
Tue Oct 18 11:38:03 +0000 2022,Pakistan News ,UAE Ambassador lauds efforts of Pakistan Navy during floods #Pakistan radio.gov.pk/18-10-2022/uae…,"Islamabad, Pakistan"
Tue Oct 18 11:36:02 +0000 2022,Pakistan News ,PTI refiles reference with SJC for Sikandar Raja's removal as CEC #Pakistan dawn.com/news/1715662/p…,"Islamabad, Pakistan"
Tue Oct 18 11:34:02 +0000 2022,Pakistan News ,Pakistan's flood-hit provinces likely to produce 50% less wheat #Pakistan aa.com.tr/en/asia-pacifi…,"Islamabad, Pakistan"
Tue Oct 18 11:32:02 +0000 2022,Pakistan News ,Pakistan has highest ratio of Breast Cancer in Asia #Pakistan dailytimes.com.pk/1014265/pakist…,"Islamabad, Pakistan"
Tue Oct 18 11:26:03 +0000 2022,Pakistan News ,All measures in place to strengthen security of Pakistan's nuclear assets: Pakistan Army #Pakistan pakobserver.net/all-measures-i…,"Islamabad, Pakistan"
Tue Oct 18 11:24:04 +0000 2022,Pakistan News ,Pakistan Army expresses full confidence in nuclear command and control system #Pakistan dailytimes.com.pk/1014267/pakist…,"Islamabad, Pakistan"
Tue Oct 18 11:22:03 +0000 2022,Pakistan News ,Army places full confidence in Pakistan's robust security of nuclear assets #Pakistan brecorder.com/news/40203775/…,"Islamabad, Pakistan"
Tue Oct 18 11:20:03 +0000 2022,Pakistan News ,Pakistan in talks with Russia over import of LNG supplies #Pakistan tribune.com.pk/story/2382208/…,"Islamabad, Pakistan"
Tue Oct 18 11:18:01 +0000 2022,Pakistan News ,Cricket: India will not travel to Pakistan for Asia Cup next year #Pakistan aljazeera.com/sports/2022/10…,"Islamabad, Pakistan"
Tue Oct 18 11:16:02 +0000 2022,Pakistan News ,COAS says Pakistan’s nuclear weapons safe and protected #Pakistan arynews.tv/coas-says-paki…,"Islamabad, Pakistan"
Tue Oct 18 11:08:02 +0000 2022,Pakistan News ,Modi govt refuses to allow team to Pakistan for Asia Cup 2023 #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 11:06:02 +0000 2022,Pakistan News ,Pakistan's flood-hit provinces likely to produce 50% less wheat #Pakistan aa.com.tr/en/asia-pacifi…,"Islamabad, Pakistan"
Tue Oct 18 11:04:02 +0000 2022,Pakistan News ,India Refuses to Send Cricket Team to Pakistan for 2023 Asia Cup #Pakistan propakistani.pk/2022/10/18/ind…,"Islamabad, Pakistan"
Tue Oct 18 11:02:03 +0000 2022,Pakistan News ,Pakistan: Flood 2022 Response Report (Aug - Sep 2022) - Pakistan #Pakistan reliefweb.int/report/pakista…,"Islamabad, Pakistan"
Tue Oct 18 10:50:02 +0000 2022,Pakistan News ,Pakistan Ready to Purchase Russian Oil on India Rate: Dar #Pakistan propakistani.pk/2022/10/18/pak…,"Islamabad, Pakistan"
Tue Oct 18 10:48:01 +0000 2022,Pakistan News ,India will not travel to Pakistan for Asia Cup 2023: BCCI #Pakistan arynews.tv/india-will-not…,"Islamabad, Pakistan"
Tue Oct 18 10:46:03 +0000 2022,Pakistan News ,"Army's top brass reposes 'full confidence' in Pakistan's 'robust' security of nuclear, strategic assets #Pakistan dawn.com/news/1715669/a…","Islamabad, Pakistan"
Tue Oct 18 10:42:02 +0000 2022,Pakistan News ,"Flood damage survey complete in 46 districts of Balochistan, KP #Pakistan dawn.com/news/1715620","Islamabad, Pakistan"
Tue Oct 18 10:40:02 +0000 2022,Pakistan News ,"Pakistani Rupee to US Dollar on October 18, 2022 #Pakistan pkrevenue.com/pakistani-rupe…","Islamabad, Pakistan"
Tue Oct 18 10:38:02 +0000 2022,Pakistan News ,THROWBACK: Ramiz reveals how Pakistan can dismiss Rohit early in the innings #Pakistan cricketpakistan.com.pk/en/news/detail…,"Islamabad, Pakistan"
Tue Oct 18 10:36:03 +0000 2022,Pakistan News ,Officials: Pakistani forces kill 4 insurgents in southwest #Pakistan apnews.com/article/pakist…,"Islamabad, Pakistan"
Tue Oct 18 10:34:03 +0000 2022,Pakistan News ,Germany Asks Pakistan To Remove Hurdles in Implementing Delayed Projects #Pakistan propakistani.pk/2022/10/18/ger…,"Islamabad, Pakistan"
Tue Oct 18 10:32:02 +0000 2022,Pakistan News ,"Pakistan, Afghanistan T20 World Cup warm-up game likely to be affected by rain #Pakistan cricketpakistan.com.pk/en/news/detail…","Islamabad, Pakistan"
Tue Oct 18 10:20:04 +0000 2022,Pakistan News ,"With turnout at 35pc, Fafen finds by-polls peaceful #Pakistan dawn.com/news/1715626","Islamabad, Pakistan"
Tue Oct 18 10:18:03 +0000 2022,Pakistan News ,"(From Indian media) India will not travel to Pakistan for 2023 Asia cup, will play at neutral venue: Jay Shah #Pakistan indianexpress.com/article/sports…","Islamabad, Pakistan"
Tue Oct 18 10:16:02 +0000 2022,Pakistan News ,Asia Cup 2023: BCCI decides against touring Pakistan #Pakistan dailytimes.com.pk/1014262/asia-c…,"Islamabad, Pakistan"
Tue Oct 18 10:08:03 +0000 2022,Pakistan News ,Pandit youth urges community to beware of Modi regime’s evil agenda #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 10:06:02 +0000 2022,Pakistan News ,WB names chair of arbitration court to hear Pakistan complaint over Indian construction of Kishenganga and Ratle power plants #Pakistan dawn.com/news/1715664/w…,"Islamabad, Pakistan"
Tue Oct 18 10:04:02 +0000 2022,Pakistan News ,Army's top brass poses full confidence in Pakistan's robust nuclear command #Pakistan en.dailypakistan.com.pk/18-Oct-2022/ar…,"Islamabad, Pakistan"
Tue Oct 18 10:02:02 +0000 2022,Pakistan News ,"India won't visit Pakistan for Asia Cup 2023, neutral venue not unprecedented: BCCI secretary #Pakistan dawn.com/news/1715666/i…","Islamabad, Pakistan"
Tue Oct 18 09:46:02 +0000 2022,Pakistan News ,India decides against visiting Pakistan for Asia Cup #Pakistan en.dailypakistan.com.pk/18-Oct-2022/in…,"Islamabad, Pakistan"
Tue Oct 18 09:34:03 +0000 2022,Pakistan News ,TLP claims Abbottabad police killed 10 workers in clash #Pakistan dawn.com/news/1715578,"Islamabad, Pakistan"
Tue Oct 18 09:32:03 +0000 2022,Pakistan News ,Times Higher Education ranks UMT 1st in Pakistan among private sector universities #Pakistan en.dailypakistan.com.pk/18-Oct-2022/ti…,"Islamabad, Pakistan"
Tue Oct 18 09:22:02 +0000 2022,Pakistan News ,Gold Rate In Pakistan Today 18 October 2022 #Pakistan dailytimes.com.pk/1014026/gold-p…,"Islamabad, Pakistan"
Tue Oct 18 09:20:03 +0000 2022,Pakistan News ,India decides not to visit Pakistan for Asia Cup #Pakistan en.dailypakistan.com.pk/18-Oct-2022/in…,"Islamabad, Pakistan"
Tue Oct 18 09:18:03 +0000 2022,Pakistan News ,Pakistan floods: improve public's grasp of climate change #Pakistan nature.com/articles/d4158…,"Islamabad, Pakistan"
Tue Oct 18 09:16:03 +0000 2022,Pakistan News ,India won't travel to Pakistan for 2023 Asia Cup #Pakistan espncricinfo.com/story/india-wo…,"Islamabad, Pakistan"
Tue Oct 18 08:48:02 +0000 2022,Pakistan News ,Pakistan: Multi-sectoral Initial Rapid Assessment (MIRA) - Flood 2022 and Mirpurkhas - Pakistan #Pakistan reliefweb.int/report/pakista…,"Islamabad, Pakistan"
Tue Oct 18 08:46:02 +0000 2022,Pakistan News ,"(From Indian media) India Won't Travel To Pakistan For Asia Cup 2023, Says Jay Shah #Pakistan sports.ndtv.com/cricket/india-…","Islamabad, Pakistan"
Tue Oct 18 08:16:03 +0000 2022,Pakistan News ,Nestlé Pakistan leads rural women to financial empowerment #Pakistan dailytimes.com.pk/1014229/nestle…,"Islamabad, Pakistan"
Tue Oct 18 08:04:02 +0000 2022,Pakistan News ,PCB announces schedule for Bangladesh U19 tour of Pakistan #Pakistan dunyanews.tv/en/Cricket/671…,"Islamabad, Pakistan"
Tue Oct 18 08:02:02 +0000 2022,Pakistan News ,"(From Indian media) Pakistan’s Dead Body Horror: As Hundreds Are Missing, Questions Will Be Asked #Pakistan thequint.com/voices/opinion…","Islamabad, Pakistan"
Tue Oct 18 07:46:03 +0000 2022,Pakistan News ,(From Indian media) Alleged ‘Netflix’ documentary on corruption in Pakistan gets Imran Khan supporters excited: Here is all you need to know #Pakistan opindia.com/2022/10/allege…,"Islamabad, Pakistan"
Tue Oct 18 07:22:03 +0000 2022,Pakistan News ,TLP claims Abbottabad police killed 10 workers in clash #Pakistan dawn.com/news/1715578/t…,"Islamabad, Pakistan"
Tue Oct 18 07:20:03 +0000 2022,Pakistan News ,US 'confident' Pakistan's nuclear assets are secure - Pakistan - DAWN.COM #Pakistan dawn.com/news/1715650,"Islamabad, Pakistan"
Tue Oct 18 07:18:02 +0000 2022,Pakistan News ,Today’s Dollar rate in Pakistan – 18 Oct 2022 #Pakistan dailytimes.com.pk/1014210/todays…,"Islamabad, Pakistan"
Tue Oct 18 07:16:02 +0000 2022,Pakistan News ,Just 14% of Pakistan’s Edible Oil Demand Met Locally: Report #Pakistan propakistani.pk/2022/10/18/jus…,"Islamabad, Pakistan"
Tue Oct 18 07:08:03 +0000 2022,Pakistan News ,Situation in IIOJK contrary to Modi govt’s claims: Omar Abdullah #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 07:06:03 +0000 2022,Pakistan News ,Modi taking detrimental steps to benefit corporate friends: Mehbooba #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 07:04:03 +0000 2022,Pakistan News ,IIOJK Opposition parties announce protests on inclusion of non-local voters #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 07:02:02 +0000 2022,Pakistan News ,SC urged to ask PTI to rejoin parliament - Pakistan - DAWN.COM #Pakistan dawn.com/news/1715621,"Islamabad, Pakistan"
Tue Oct 18 06:54:03 +0000 2022,Pakistan News ,"Pakistan suffered $32bn flood losses, NA informed #Pakistan thenews.com.pk/print/1001112-…","Islamabad, Pakistan"
Tue Oct 18 06:52:03 +0000 2022,Pakistan News ,A different Pakistan economy! - Editorials #Pakistan brecorder.com/news/40203656,"Islamabad, Pakistan"
Tue Oct 18 06:50:03 +0000 2022,Pakistan News ,"(From Indian media) Pakistan, China teams here for SCO talks #Pakistan tribuneindia.com/news/nation/pa…","Islamabad, Pakistan"
Tue Oct 18 06:48:04 +0000 2022,Pakistan News ,Pakistan ready to buy Russian oil: Ishaq Dar #Pakistan nation.com.pk/18-Oct-2022/pa…,"Islamabad, Pakistan"
Tue Oct 18 06:46:03 +0000 2022,Pakistan News ,Pakistan enters the metaverse. Country's first mega web3 project; The Cloud City Metaverse is coming #Pakistan techjuice.pk/pakistan-enter…,"Islamabad, Pakistan"
Tue Oct 18 06:38:02 +0000 2022,Pakistan News ,"Pakistan suffered $32b flood losses, NA informed #Pakistan thenews.com.pk/print/1000949-…","Islamabad, Pakistan"
Tue Oct 18 06:36:02 +0000 2022,Pakistan News ,Private sector universities: Times higher education report terms UMT best in Pakistan #Pakistan brecorder.com/news/40203681/…,"Islamabad, Pakistan"
Tue Oct 18 06:34:02 +0000 2022,Pakistan News ,World Food Day: Combating hunger in Pakistan - Pakistan #Pakistan reliefweb.int/report/pakista…,"Islamabad, Pakistan"
Tue Oct 18 06:32:03 +0000 2022,Pakistan News ,"25 years from now, Miftah not too optimistic about Pakistans economic outlook #Pakistan thenews.com.pk/latest/1001129…","Islamabad, Pakistan"
Tue Oct 18 06:22:02 +0000 2022,Pakistan News ,PM orders dewatering of Balochistan's flood-stricken areas #Pakistan dawn.com/news/1715625,"Islamabad, Pakistan"
Tue Oct 18 06:20:02 +0000 2022,Pakistan News ,ECP decision on local govt elections in Karachi today #Pakistan dawn.com/news/1715627,"Islamabad, Pakistan"
Tue Oct 18 06:18:02 +0000 2022,Pakistan News ,"Pakistani Rupee to Saudi Riyal on October 18, 2022 #Pakistan pkrevenue.com/pakistani-rupe…","Islamabad, Pakistan"
Tue Oct 18 06:16:03 +0000 2022,Pakistan News ,Oppo A17 price in Pakistan &amp; IPS screen #Pakistan bolnews.com/technology/202…,"Islamabad, Pakistan"
Tue Oct 18 06:14:03 +0000 2022,Pakistan News ,"Vandalism at APHC office won’t change ground reality on Kashmir, say APHC and others #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…","Islamabad, Pakistan"
Tue Oct 18 06:12:03 +0000 2022,Pakistan News ,Sikh leader exposes Amit Shah’s ‘everything is ok’ claim in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 06:10:02 +0000 2022,Pakistan News ,PU students' protest against arrest of union leader continues #Pakistan dawn.com/news/1715606/p…,"Islamabad, Pakistan"
Tue Oct 18 06:08:02 +0000 2022,Pakistan News ,Hamid Zaman withdraws bail plea to move special court #Pakistan dawn.com/news/1715611/h…,"Islamabad, Pakistan"
Tue Oct 18 06:06:02 +0000 2022,Pakistan News ,Capital police restrained from harassing citizens - Pakistan - DAWN.COM #Pakistan dawn.com/news/1715587/c…,"Islamabad, Pakistan"
Tue Oct 18 06:04:03 +0000 2022,Pakistan News ,France first non-Muslim nation to establish ties with Pakistan: Envoy #Pakistan nation.com.pk/18-Oct-2022/fr…,"Islamabad, Pakistan"
Tue Oct 18 06:02:02 +0000 2022,Pakistan News ,Will an Adlai Stevenson save us? - Newspaper - DAWN.COM #Pakistan dawn.com/news/1715637,"Islamabad, Pakistan"
Tue Oct 18 06:00:04 +0000 2022,Pakistan News ,TLP claims Abbottabad police killed 10 workers in clash #Pakistan dawn.com/news/1715578/t…,"Islamabad, Pakistan"
Tue Oct 18 05:58:02 +0000 2022,Pakistan News ,Lahore Master Plan approved - Pakistan - DAWN.COM #Pakistan dawn.com/news/1715613/l…,"Islamabad, Pakistan"
Tue Oct 18 05:56:03 +0000 2022,Pakistan News ,Ruling MNAs demand DNA tests of bodies dumped on Nishtar roof #Pakistan dawn.com/news/1715619,"Islamabad, Pakistan"
Tue Oct 18 05:54:02 +0000 2022,Pakistan News ,PM orders dewatering of Balochistan's flood-stricken areas #Pakistan dawn.com/news/1715625/p…,"Islamabad, Pakistan"
Tue Oct 18 05:52:03 +0000 2022,Pakistan News ,Gold price in Pakistan today #Pakistan pakobserver.net/gold-price-in-…,"Islamabad, Pakistan"
Tue Oct 18 05:50:03 +0000 2022,Pakistan News ,US senators seek immigration protection for Pakistani migrants #Pakistan dawn.com/news/1715629,"Islamabad, Pakistan"
Tue Oct 18 05:48:02 +0000 2022,Pakistan News ,US 'confident' Pakistan's nuclear assets are secure - Pakistan - DAWN.COM #Pakistan dawn.com/news/1715650/u…,"Islamabad, Pakistan"
Tue Oct 18 05:46:03 +0000 2022,Pakistan News ,(From Indian media) Pakistan drone shot by BSF at Punjab border; third incident in four days #Pakistan tribuneindia.com/news/punjab/pa…,"Islamabad, Pakistan"
Tue Oct 18 05:38:02 +0000 2022,Pakistan News ,Indus Motor vows to launch Corolla Cross in Pakistan next year #Pakistan brecorder.com/news/40203565/…,"Islamabad, Pakistan"
Tue Oct 18 05:36:02 +0000 2022,Pakistan News ,'Behind Closed Doors' is not a Netflix documentary about corruption in Pakistan #Pakistan thenamal.com/featured/behin…,"Islamabad, Pakistan"
Tue Oct 18 05:34:02 +0000 2022,Pakistan News ,Vivo X90 Price in Pakistan with 4500 mAh battery #Pakistan bolnews.com/technology/202…,"Islamabad, Pakistan"
Tue Oct 18 05:32:02 +0000 2022,Pakistan News ,"India vs. Pakistan: Time, TV channel, live stream, squads, tickets for T20 World Cup match #Pakistan sportingnews.com/au/cricket/new…","Islamabad, Pakistan"
Tue Oct 18 05:20:03 +0000 2022,Pakistan News ,"Today's currency exchange rates in Pakistan - Dollar, Euro, Pound, Riyal rates on October 18, 2022 #Pakistan en.dailypakistan.com.pk/18-Oct-2022/to…","Islamabad, Pakistan"
Tue Oct 18 05:18:03 +0000 2022,Pakistan News ,"(From Indian media) On Pakistan's economic, political crisis, Imran Khan shares 'the only solution' #Pakistan hindustantimes.com/world-news/on-…","Islamabad, Pakistan"
Tue Oct 18 05:16:02 +0000 2022,Pakistan News ,Pakistan reports 32 coronavirus cases in last 24 hours #Pakistan nation.com.pk/18-Oct-2022/pa…,"Islamabad, Pakistan"
Tue Oct 18 05:06:03 +0000 2022,Pakistan News ,APHC denounces hooliganism outside its office in Srinagar by Hindutva goons #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 05:04:03 +0000 2022,Pakistan News ,"Buoyed by poll success, Imran admits 'backchannel' is open #Pakistan dawn.com/news/1715622","Islamabad, Pakistan"
Tue Oct 18 05:02:03 +0000 2022,Pakistan News ,Pakistan’s Ex-PM Imran Khan Plans Protest After Election Win #Pakistan bnnbloomberg.ca/pakistan-s-ex-…,"Islamabad, Pakistan"
Tue Oct 18 04:50:02 +0000 2022,Pakistan News ,"(From Indian media) Watch: Kohli joins Babar at nets, practices with Pakistan moments after AUS tie #Pakistan hindustantimes.com/cricket/watch-…","Islamabad, Pakistan"
Tue Oct 18 04:48:02 +0000 2022,Pakistan News ,"(From Indian media) On Pakistan’s economic, political crisis, Imran Khan shares ‘the only solution’ #Pakistan hindustantimes.com/world-news/on-…","Islamabad, Pakistan"
Tue Oct 18 04:46:01 +0000 2022,Pakistan News ,Gold Price In Pakistan Today 18 October 2022 #Pakistan dailytimes.com.pk/1014026/gold-p…,"Islamabad, Pakistan"
Tue Oct 18 04:42:02 +0000 2022,Pakistan News ,Pakistan's power generation cost up nearly 46% YoY in Sep as production declines #Pakistan brecorder.com/news/40203553/…,"Islamabad, Pakistan"
Tue Oct 18 04:40:02 +0000 2022,Pakistan News ,Dar optimistic of Pakistan's exit from FATF's grey-list #Pakistan brecorder.com/news/40203538/…,"Islamabad, Pakistan"
Tue Oct 18 04:38:03 +0000 2022,Pakistan News ,PML-N blames defeat on external factors - Pakistan - DAWN.COM #Pakistan dawn.com/news/1715616,"Islamabad, Pakistan"
Tue Oct 18 04:36:02 +0000 2022,Pakistan News ,"With turnout at 35pc, Fafen finds by-polls peaceful #Pakistan dawn.com/news/1715626/w…","Islamabad, Pakistan"
Tue Oct 18 04:34:01 +0000 2022,Pakistan News ,(From Indian media) Government not engaged with Imran Khan for any negotiation: Pakistan’s Interior Minister #Pakistan theprint.in/world/governme…,"Islamabad, Pakistan"
Tue Oct 18 04:32:02 +0000 2022,Pakistan News ,"Gold Rate In Pakistan Today, 18th October 2022 #Pakistan urdupoint.com/en/business/go…","Islamabad, Pakistan"
Tue Oct 18 04:20:03 +0000 2022,Pakistan News ,Pakistan's By-Elections: Imran Khan Plans Protest March to Islamabad #Pakistan bloomberg.com/news/articles/…,"Islamabad, Pakistan"
Tue Oct 18 04:18:03 +0000 2022,Pakistan News ,NATIONAL CLEARING COMPANY OF PAKISTAN LIMITED (NCCPL) - Markets #Pakistan brecorder.com/news/40203614/…,"Islamabad, Pakistan"
Tue Oct 18 04:16:02 +0000 2022,Pakistan News ,Pakistan to host Bangladesh U-19 - Newspaper - DAWN.COM #Pakistan dawn.com/news/1715519/p…,"Islamabad, Pakistan"
Tue Oct 18 04:10:03 +0000 2022,Pakistan News ,Two Indian labourers&nbsp; killed in IIOJK grenade blast #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 04:08:03 +0000 2022,Pakistan News ,"Feature: “We still don’t know why he was killed,” says children of Muslim man lynched in UP #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…","Islamabad, Pakistan"
Tue Oct 18 04:06:03 +0000 2022,Pakistan News ,"Indian agency, paramilitary forces raid several houses in Pulwama #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…","Islamabad, Pakistan"
Tue Oct 18 04:04:02 +0000 2022,Pakistan News ,Hindu mob breaks into historic mosque for puja #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/18…,"Islamabad, Pakistan"
Tue Oct 18 04:02:02 +0000 2022,Pakistan News ,(From Indian media) Pakistan drone shot by BSF at Punjab border; 3rd incident in four days #Pakistan tribuneindia.com/news/punjab/pa…,"Islamabad, Pakistan"
Tue Oct 18 03:54:04 +0000 2022,Pakistan News ,JCC agenda: Pakistan seeks export boost under new trade accord with China #Pakistan thenews.com.pk/print/1000943-…,"Islamabad, Pakistan"
Tue Oct 18 03:52:04 +0000 2022,Pakistan News ,iPhone 6S Price in Pakistan with Bluetooth 4.0 #Pakistan bolnews.com/technology/202…,"Islamabad, Pakistan"
Tue Oct 18 03:50:03 +0000 2022,Pakistan News ,"Pakistan, Saudi Arabia enjoy cultural, historical ties: Air Chief #Pakistan nation.com.pk/18-Oct-2022/pa…","Islamabad, Pakistan"
Tue Oct 18 03:48:02 +0000 2022,Pakistan News ,(From Indian media) Pakistan 'most dangerous' yet receiving F-16 package from US? Reporter's question leaves White House Press Sec #Pakistan timesnownews.com/world/pakistan…,"Islamabad, Pakistan"
Tue Oct 18 03:46:02 +0000 2022,Pakistan News ,The Critical Need to Modernise Pakistan’s Energy System #Pakistan dailytimes.com.pk/1013932/the-cr…,"Islamabad, Pakistan"
